season,date,v_team,v_goals,h_team,h_goals,attendance,max,final_score,winner,type,goals,goals_axis
'05-'06,2006-04-21,Anaheim Ducks,1,Calgary Flames,2,0,2,2-1⠀,Home,OT,3,3G
'05-'06,2006-04-21,Edmonton Oilers,2,Detroit Red Wings,3,0,3,3-2⠀,Home,2OT,5,5G
'05-'06,2006-04-21,San Jose Sharks,3,Nashville Predators,4,0,4,4-3⠀,Home,REG,7,7G
'05-'06,2006-04-21,Tampa Bay Lightning,1,Ottawa Senators,4,0,4,4-1⠀,Home,REG,5,5G
'05-'06,2006-04-22,Philadelphia Flyers,2,Buffalo Sabres,3,0,3,3-2⠀,Home,2OT,5,5G
'05-'06,2006-04-22,Montreal Canadiens,6,Carolina Hurricanes,1,0,6,6-1⠀,Visitor,REG,7,7G
'05-'06,2006-04-22,Colorado Avalanche,5,Dallas Stars,2,0,5,5-2⠀,Visitor,REG,7,7G
'05-'06,2006-04-22,New York Rangers,1,New Jersey Devils,6,0,6,6-1⠀,Home,REG,7,7G
'05-'06,2006-04-23,Anaheim Ducks,4,Calgary Flames,3,0,4,4-3⠀,Visitor,REG,7,7G
'05-'06,2006-04-23,Edmonton Oilers,4,Detroit Red Wings,2,0,4,4-2⠀,Visitor,REG,6,6G
'05-'06,2006-04-23,San Jose Sharks,3,Nashville Predators,0,0,3,3-0⠀,Visitor,REG,3,3G
'05-'06,2006-04-23,Tampa Bay Lightning,4,Ottawa Senators,3,0,4,4-3⠀,Visitor,REG,7,7G
'05-'06,2006-04-24,Philadelphia Flyers,2,Buffalo Sabres,8,0,8,8-2⠀,Home,REG,10,10G
'05-'06,2006-04-24,Montreal Canadiens,6,Carolina Hurricanes,5,0,6,6-5⠀,Visitor,2OT,11,11G
'05-'06,2006-04-24,Colorado Avalanche,5,Dallas Stars,4,0,5,5-4⠀,Visitor,OT,9,9G
'05-'06,2006-04-24,New York Rangers,1,New Jersey Devils,4,0,4,4-1⠀,Home,REG,5,5G
'05-'06,2006-04-25,Detroit Red Wings,3,Edmonton Oilers,4,0,4,4-3⠀,Home,2OT,7,7G
'05-'06,2006-04-25,Calgary Flames,5,Anaheim Ducks,2,0,5,5-2⠀,Visitor,REG,7,7G
'05-'06,2006-04-25,Nashville Predators,1,San Jose Sharks,4,0,4,4-1⠀,Home,REG,5,5G
'05-'06,2006-04-25,Ottawa Senators,8,Tampa Bay Lightning,4,0,8,8-4⠀,Visitor,REG,12,12G
'05-'06,2006-04-26,Dallas Stars,3,Colorado Avalanche,4,0,4,4-3⠀,Home,OT,7,7G
'05-'06,2006-04-26,Carolina Hurricanes,2,Montreal Canadiens,1,0,2,2-1⠀,Visitor,OT,3,3G
'05-'06,2006-04-26,New Jersey Devils,3,New York Rangers,0,0,3,3-0⠀,Visitor,REG,3,3G
'05-'06,2006-04-26,Buffalo Sabres,2,Philadelphia Flyers,4,0,4,4-2⠀,Home,REG,6,6G
'05-'06,2006-04-27,Detroit Red Wings,4,Edmonton Oilers,2,0,4,4-2⠀,Visitor,REG,6,6G
'05-'06,2006-04-27,Calgary Flames,2,Anaheim Ducks,3,0,3,3-2⠀,Home,OT,5,5G
'05-'06,2006-04-27,Nashville Predators,4,San Jose Sharks,5,0,5,5-4⠀,Home,REG,9,9G
'05-'06,2006-04-27,Ottawa Senators,5,Tampa Bay Lightning,2,0,5,5-2⠀,Visitor,REG,7,7G
'05-'06,2006-04-28,Dallas Stars,4,Colorado Avalanche,1,0,4,4-1⠀,Visitor,REG,5,5G
'05-'06,2006-04-28,Carolina Hurricanes,3,Montreal Canadiens,2,0,3,3-2⠀,Visitor,REG,5,5G
'05-'06,2006-04-28,Buffalo Sabres,4,Philadelphia Flyers,5,0,5,5-4⠀,Home,REG,9,9G
'05-'06,2006-04-29,Anaheim Ducks,2,Calgary Flames,3,0,3,3-2⠀,Home,REG,5,5G
'05-'06,2006-04-29,Edmonton Oilers,3,Detroit Red Wings,2,0,3,3-2⠀,Visitor,REG,5,5G
